graph_id,shortestPath,totalDistance,score,approximateTSP,totalDistanceForAppTSP,scoreForAppTSP,hallucinations
graph_0,0 -> 2 -> 4,,,No path found,0.0,,[2->4]
graph_1,No path found,0.0,,No path found,0.0,,
graph_2,No path found,0.0,,No path found,0.0,,
graph_3,0 -> 1 -> 2 -> 3 -> 4,,,No path found,0.0,,"[0->1, 1->2]"
graph_4,No path found,0.0,,No path found,0.0,,
graph_5,0 -> 1 -> 2 -> 3 -> 4,,,No path found,0.0,,"[1->2, 3->4]"
graph_6,No path found,0.0,,No path found,0.0,,
graph_7,No path found,0.0,,No path found,0.0,,
graph_8,No path found,0.0,,No path found,0.0,,
graph_9,No path found,0.0,,No path found,0.0,,
graph_10,0 -> 1 -> 2 -> 4,,,No path found,0.0,,[2->4]
graph_11,0 -> 2 -> 3 -> 4,,,No path found,0.0,,"[0->2, 3->4]"
graph_12,0 -> 1 -> 2 -> 4,,,0 -> 1 -> 2 -> 3 -> 4 -> 0,,,"[3->4, 4->0]"
graph_13,0 -> 1 -> 2 -> 3 -> 4,,,0 -> 1 -> 2 -> 3 -> 4 -> 0,,,[4->0]
graph_14,0 -> 1 -> 2 -> 4,,,0 -> 1 -> 2 -> 4 -> 3 -> 0,,,[3->0]
graph_15,0 -> 1 -> 2 -> 3 -> 4,,,0 -> 1 -> 2 -> 3 -> 4 -> 0,,,[4->0]
graph_16,0 -> 1 -> 2 -> 3 -> 4,,,0 -> 1 -> 3 -> 2 -> 4 -> 0,,,"[2->4, 4->0]"
graph_17,0 -> 1 -> 3 -> 4,,,No path found,0.0,,[0->1]
graph_18,0 -> 1 -> 4,,,No path found,0.0,,[0->1]
